pt,family,spp,spp_id,dist,counts,elev
23,Cisticolidae,Cisticola chubbi,50,3,2,2494
23,Malaconotidae,Laniarius aethiopicus,19,5,1,2494
23,Lybiidae,Pogoniulus coryphaeus,4,4,1,2494
23,Pycnonotidae,Pycnonotus barbatus,44,3,1,2494
23,Columbidae,Streptopelia lugens,8,1,2,2494
23,Columbidae,Streptopelia semitorquata,9,2,1,2494
24,Nectariniidae,Cinnyris stuhlmanni,32,1,4,2532
24,Nectariniidae,Cinnyris venustus,33,2,1,2532
24,Cisticolidae,Cisticola chubbi,50,3,2,2532
24,Colidae,Colius striatus,6,2,3,2532
24,Malaconotidae,Laniarius aethiopicus,19,5,1,2532
24,Muscicapidae,Melaenornis fisheri,26,2,1,2532
24,Lybiidae,Pogoniulus coryphaeus,4,5,1,2532
24,Columbidae,Streptopelia lugens,8,3,1,2532
24,Columbidae,Streptopelia semitorquata,9,1,1,2532
25,Cisticolidae,Apalis porphyrolaema,46,4,1,2592
25,Locustellidae,Bradypterus cinnamomeus,47,2,1,2592
25,Acrocephalidae,Iduna similis,49,4,1,2592
25,Nectariniidae,Cinnyris stuhlmanni,32,3,1,2592
25,Cisticolidae,Cisticola chubbi,50,3,4,2592
25,Lybiidae,Pogoniulus coryphaeus,4,5,1,2592
25,Sylviidae,Pseudoalcippe abyssinica,58,4,1,2592
25,Columbidae,Streptopelia semitorquata,9,4,1,2592
25,Zosteropidae,Zosterops senegalensis,63,3,2,2592
26,Locustellidae,Bradypterus cinnamomeus,47,3,1,2619
26,Acrocephalidae,Iduna similis,49,4,1,2619
26,Nectariniidae,Cinnyris stuhlmanni,32,1,2,2619
26,Cisticolidae,Cisticola chubbi,50,4,2,2619
26,Muscicapidae,Cossypha archeri,60,1,1,2619
26,Estrildidae,Estrilda kandti,14,1,10,2619
26,Lybiidae,Pogoniulus coryphaeus,4,4,1,2619
26,Zosteropidae,Zosterops senegalensis,63,1,2,2619
27,Cisticolidae,Apalis porphyrolaema,46,1,1,2689
27,Platysteiridae,Batis diops,24,3,1,2689
27,Acrocephalidae,Iduna similis,49,4,1,2689
27,Nectariniidae,Cinnyris stuhlmanni,32,2,2,2689
27,Cisticolidae,Cisticola chubbi,50,1,2,2689
27,Cisticolidae,Oreolais ruwenzori,51,5,1,2689
27,Phylloscopidae,Phylloscopus umbrovirens,53,3,1,2689
27,Lybiidae,Pogoniulus coryphaeus,4,4,1,2689
27,Pycnonotidae,Pycnonotus barbatus,44,2,1,2689
27,Fringillidae,Crithagra gularis,16,3,1,2689
28,Locustellidae,Bradypterus cinnamomeus,47,3,2,2392
28,Cuculidae,Chrysococcyx klaas,11,5,1,2392
28,Nectariniidae,Cinnyris regius,31,2,1,2392
28,Cisticolidae,Cisticola chubbi,50,3,2,2392
28,Malaconotidae,Laniarius aethiopicus,19,5,2,2392
28,Pycnonotidae,Pycnonotus barbatus,44,1,1,2392
28,Columbidae,Streptopelia lugens,8,3,1,2392
28,Columbidae,Streptopelia semitorquata,9,5,1,2392
29,Cisticolidae,Apalis porphyrolaema,46,4,1,2694
29,Nectariniidae,Cinnyris stuhlmanni,32,2,2,2694
29,Lybiidae,Pogoniulus coryphaeus,4,4,2,2694
30,Pycnonotidae,Andropadus nigriceps,43,2,1,2736
30,Locustellidae,Bradypterus cinnamomeus,47,3,1,2736
30,Acrocephalidae,Iduna similis,49,3,1,2736
30,Nectariniidae,Cinnyris stuhlmanni,32,1,1,2736
30,Columbidae,Columba arquatrix,7,5,1,2736
30,Muscicapidae,Cossypha archeri,60,2,2,2736
30,Paridae,Melaniparus fasciiventer,38,2,2,2736
30,Phylloscopidae,Phylloscopus umbrovirens,53,1,2,2736
30,Lybiidae,Pogoniulus coryphaeus,4,2,1,2736
30,Zosteropidae,Zosterops senegalensis,63,2,2,2736
31,Platysteiridae,Batis molitor,25,2,2,2772
31,Acrocephalidae,Iduna similis,49,5,1,2772
31,Nectariniidae,Cinnyris stuhlmanni,32,1,1,2772
31,Cisticolidae,Cisticola chubbi,50,4,2,2772
31,Malaconotidae,Laniarius poensis,21,3,2,2772
31,Zosteropidae,Zosterops senegalensis,63,2,2,2772
32,Cisticolidae,Apalis porphyrolaema,46,4,1,2812
32,Locustellidae,Bradypterus cinnamomeus,47,2,2,2812
32,Acrocephalidae,Iduna similis,49,3,2,2812
32,Nectariniidae,Cinnyris stuhlmanni,32,1,2,2812
32,Cisticolidae,Cisticola chubbi,50,3,2,2812
