pt,family,spp,spp_id,dist,counts,elev
119,Cisticolidae,Cisticola chubbi,3,3,2,2478
119,Cisticolidae,Cisticola chubbi,3,4,2,2478
119,Cisticolidae,Oreolais ruwenzori,4,3,2,2478
119,Cisticolidae,Prinia bairdii,5,3,2,2478
120,Cisticolidae,Cisticola chubbi,3,3,2,2513
120,Cisticolidae,Oreolais ruwenzori,4,4,1,2513
121,Cisticolidae,Apalis personata,1,2,2,2267
121,Cisticolidae,Cisticola chubbi,3,2,2,2267
121,Cisticolidae,Oreolais ruwenzori,4,2,1,2267
122,Cisticolidae,Cisticola chubbi,3,2,2,2585
122,Cisticolidae,Cisticola chubbi,3,4,2,2585
122,Cisticolidae,Oreolais ruwenzori,4,3,2,2585
123,Cisticolidae,Cisticola chubbi,3,2,2,2678
123,Cisticolidae,Oreolais ruwenzori,4,1,2,2678
123,Cisticolidae,Prinia bairdii,5,2,2,2678
124,Cisticolidae,Cisticola chubbi,3,4,2,2778
126,Cisticolidae,Apalis personata,1,2,2,2284
126,Cisticolidae,Cisticola chubbi,3,2,2,2284
126,Cisticolidae,Cisticola chubbi,3,4,2,2284
126,Cisticolidae,Oreolais ruwenzori,4,2,2,2284
127,Cisticolidae,Apalis personata,1,3,2,2287
127,Cisticolidae,Cisticola chubbi,3,3,2,2287
128,Cisticolidae,Apalis personata,1,2,2,2107
128,Cisticolidae,Cisticola chubbi,3,3,2,2107
128,Cisticolidae,Oreolais ruwenzori,4,3,1,2107
130,Cisticolidae,Prinia bairdii,5,3,2,2200
131,Cisticolidae,Cisticola chubbi,3,2,2,2180
131,Cisticolidae,Prinia bairdii,5,4,1,2180
132,Cisticolidae,Oreolais ruwenzori,4,2,1,2161
133,Cisticolidae,Oreolais ruwenzori,4,2,2,2134
134,Cisticolidae,Oreolais ruwenzori,4,2,1,2092
135,Cisticolidae,Oreolais ruwenzori,4,1,1,2095
135,Cisticolidae,Prinia bairdii,5,2,2,2095
136,Cisticolidae,Prinia bairdii,5,1,1,2100
137,Cisticolidae,Oreolais ruwenzori,4,2,1,2100
137,Cisticolidae,Prinia bairdii,5,4,2,2100
138,Cisticolidae,Oreolais ruwenzori,4,2,1,2021
138,Cisticolidae,Prinia bairdii,5,3,1,2021
139,Cisticolidae,Prinia bairdii,5,3,2,2016
140,Cisticolidae,Oreolais ruwenzori,4,3,1,1993
141,Cisticolidae,Cisticola chubbi,3,3,2,1998
141,Cisticolidae,Oreolais ruwenzori,4,2,1,1998
142,Cisticolidae,Oreolais ruwenzori,4,2,1,2173
142,Cisticolidae,Prinia bairdii,5,4,2,2173
143,Cisticolidae,Apalis personata,1,2,2,2199
143,Cisticolidae,Oreolais ruwenzori,4,2,2,2199
143,Cisticolidae,Prinia bairdii,5,1,2,2199
144,Cisticolidae,Cisticola chubbi,3,3,2,2237
144,Cisticolidae,Oreolais ruwenzori,4,3,1,2237
145,Cisticolidae,Apalis porphyrolaema,2,3,1,2412
145,Cisticolidae,Cisticola chubbi,3,3,2,2412
146,Cisticolidae,Cisticola chubbi,3,3,2,2460
149,Cisticolidae,Apalis personata,1,2,2,2637
149,Cisticolidae,Cisticola chubbi,3,2,2,2637
149,Cisticolidae,Oreolais ruwenzori,4,2,1,2637
150,Cisticolidae,Cisticola chubbi,3,4,2,2708
151,Cisticolidae,Cisticola chubbi,3,4,2,2294
151,Cisticolidae,Oreolais ruwenzori,4,2,1,2294
152,Cisticolidae,Apalis personata,1,2,3,2780
152,Cisticolidae,Apalis porphyrolaema,2,3,2,2780
152,Cisticolidae,Cisticola chubbi,3,3,2,2780
153,Cisticolidae,Apalis porphyrolaema,2,3,2,2849
153,Cisticolidae,Cisticola chubbi,3,4,2,2849
154,Cisticolidae,Apalis porphyrolaema,2,3,2,2935
154,Cisticolidae,Cisticola chubbi,3,4,2,2935
154,Cisticolidae,Oreolais ruwenzori,4,3,1,2935
156,Cisticolidae,Cisticola chubbi,3,2,2,2332
156,Cisticolidae,Cisticola chubbi,3,4,2,2332
156,Cisticolidae,Oreolais ruwenzori,4,3,1,2332
156,Cisticolidae,Prinia bairdii,5,2,1,2332
157,Cisticolidae,Cisticola chubbi,3,4,2,2377
157,Cisticolidae,Oreolais ruwenzori,4,2,2,2377
158,Cisticolidae,Cisticola chubbi,3,2,2,2232
159,Cisticolidae,Cisticola chubbi,3,3,2,2439
159,Cisticolidae,Oreolais ruwenzori,4,3,1,2439
160,Cisticolidae,Apalis personata,1,2,2,2469
161,Cisticolidae,Cisticola chubbi,3,3,2,2507
161,Cisticolidae,Oreolais ruwenzori,4,4,1,2507
162,Cisticolidae,Apalis personata,1,2,2,2550
